Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class,Demand Headroom (MVA),lat,long
9717-33,Offerton,33.0,100.0,114,37.805,GREEN,BSP,76.195,54.88243,-1.456794
2810936,Knaresborough,132.0,240.0,240,151.12,GREEN,GSP,88.88,54.031244,-1.48813
3357866-132,Norton,132.0,240.0,864,364.93,GREEN,GSP,499.07,54.591369,-1.363631
301538,Stella South,132.0,240.0,720,251.61,GREEN,GSP,468.39,54.974339,-1.732523
9811-132,Spennymoor GSP,132.0,240.0,576,197.63,GREEN,GSP,378.37,54.706542,-1.557141
7494777,Tynemouth,132.0,240.0,576,152.22,GREEN,GSP,423.78,55.023802,-1.499775
9785-33,Bowesfield,33.0,90.0,108,88.018,GREEN,BSP,19.982,54.552028,-1.318381
9819,Darlington North,33.0,90.0,109,62.748,GREEN,BSP,46.252,54.555464,-1.560742
9875,Leeming Bar,33.0,90.0,141,115.779,GREEN,BSP,25.221000000000004,54.327916,-1.559342
9605,Chirton Grange,33.0,60.0,72,48.0,GREEN,BSP,24.0,55.025829,-1.478545
9621-33,Blucher,33.0,90.0,114,87.213,GREEN,BSP,26.787000000000006,54.988633,-1.724316
9897-33,Wormald Green 132/33kV,33.0,60.0,72,48.139,GREEN,BSP,23.860999999999997,54.074803,-1.521927
9838-33,Melrosegate 132/33kV,33.0,90.0,180,119.212,GREEN,BSP,60.788,53.959284,-1.058779
9620,Barrack Road,33.0,120.0,114,75.096,GREEN,BSP,38.903999999999996,54.97484,-1.62408
9928-33,Darlington Central,33.0,60.0,72,43.8,GREEN,BSP,28.200000000000003,54.526134,-1.540525
9858,Scarborough Grid,33.0,120.0,100,76.27,GREEN,BSP,23.730000000000004,54.264877,-0.414492
9910,Flatworth,33.0,60.0,72,41.904,GREEN,BSP,30.095999999999997,55.00302,-1.481994
9623-33,Gosforth,33.0,90.0,108,93.095,GREEN,BSP,14.905000000000001,55.009753,-1.605171
9893-33,Husthwaite,33.0,45.0,54,27.336,GREEN,BSP,26.664,54.157496,-1.227631
9891-33,Harrogate 132/33kV,33.0,60.0,120,68.794,GREEN,BSP,51.206,54.000992,-1.55462
9739-66,Annfield,66.0,75.0,90.8,57.78,GREEN,BSP,33.019999999999996,54.849876,-1.731872
2594836,Ravensworth,66.0,75.0,90,85.151,RED,BSP,4.849000000000004,54.908805,-1.594931
9670,Coalburns,66.0,75.0,91.3,63.306,GREEN,BSP,27.994,54.939136,-1.810772
9810-66,Potter House 132/66kV,66.0,120.0,86.25,75.838,GREEN,BSP,10.412000000000006,54.799531,-1.590776
9812-66,Toronto,66.0,90.0,108,92.059,GREEN,BSP,15.941000000000003,54.673318,-1.702478
9811-66,Spennymoor 132/66kV,66.0,75.0,188,80.555,GREEN,BSP,107.445,54.706542,-1.557141
9835,Malton Grid,66.0,75.0,82,69.507,GREEN,BSP,12.492999999999995,54.150685,-0.781263
9645-66,Linton,66.0,60.0,72,56.385,GREEN,BSP,15.615000000000002,55.228356,-1.605105
9671-66,Dunston,66.0,150.0,195,88.976,GREEN,BSP,106.024,54.95932,-1.659953
9782,Seal Sands,66.0,90.0,112,35.39,GREEN,BSP,76.61,54.607156,-1.20167
9780-66,North Tees,66.0,150.0,150.6,105.18,GREEN,BSP,45.41999999999999,54.588954,-1.265692
9787-66,Hartmoor,66.0,120.0,120,88.54,GREEN,BSP,31.459999999999994,54.701269,-1.290641
9759,Lackenby,66.0,120.0,306,151.151,GREEN,BSP,154.849,54.567626,-1.133344
9610-2,Cramlington T2 T4,11.0,19.0,24,13.793,GREEN,Primary,10.207,55.091819,-1.605312
9671-11,Dunston 66/11kV,11.0,24.0,24,15.458,GREEN,Primary,8.542,54.95932,-1.659953
9673-11,Birtley Grove 66/11kV,11.0,32.0,30,14.171,RED,Primary,15.829,54.900892,-1.584816
