Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class
9882-1,Richmond T1,11,24,24,10.563,RED,Primary
7753909,Harrogate West,11,30,30,12.97,GREEN,Primary
9810-11,Potter House T4 T5,11,30,30,6.316,GREEN,Primary
9725-5,Sunderland T5 T6,11,30,30,0,GREEN,Primary
7344629,Skeeby,33,90,90,115.779,RED,BSP
7775573,Aycliffe Forrest,11,30,30,0,GREEN,Primary
3337559,Kielder,20,4,4,0,GREEN,Primary
4038567,Darnall,11,24,23,15.671,GREEN,Primary
4038610,Orgreave,11,23,23,9.364,GREEN,Primary
4038573,Revill Lane,11,23,23,7.216,GREEN,Primary
4038565,Shirland Lane,11,24,24,9.582,GREEN,Primary
4038562,Stoke Street,11,24,24,13.009,GREEN,Primary
4038575,Barnsley,11,18.75,21.5,14.245,GREEN,Primary
4038788,Barugh 66/11kV,11,30,30,18.9,GREEN,Primary
4038792-1,Elmhirst Lane 1,11,24,24,12.584,GREEN,Primary
4038531,Scissett,11,18.75,23,16.557,GREEN,Primary
4038576,Smithy Green,11,7.5,7.5,7.027,AMBER,Primary
4038574,Woolley,11,18.75,23,9.196,GREEN,Primary
4038661-1,Beeston Royds 33/11kV,11,18.75,23,5.928,GREEN,Primary
4038654,Gildersome,11,23,23,15.978,GREEN,Primary
4038665,Hedley Chase,11,23,23,7.18,GREEN,Primary
4038668,Middleton Town Street,11,18.75,23,22.453,RED,Primary
4038658,Morley,11,18.75,23,12.484,GREEN,Primary
4038664,Tingley,11,24,24,14.184,GREEN,Primary
4038629,Whitehall Road 4/5,11,18.75,19,7.727,GREEN,Primary
4038707,Endike Lane,11,23,23,11.614,GREEN,Primary
4038711,First Avenue,11,24,24,18.417,GREEN,Primary
4038821,Holme Upon Spalding Moor,11,24,8,6.56,RED,Primary
4038701,Norwood,11,23,23,13.746,GREEN,Primary
4038767,Southgate,11,23,8,5.466,AMBER,Primary
4038702,Southwood Road,11,23,23,15.474,GREEN,Primary
4038703,Spark Mill Lane,11,23,23,15.294,GREEN,Primary
4038502,Airedale Road,11,18.75,23,10.258,GREEN,Primary
4038796,Bingley 33/11kV,11,24,23.8,14.838,GREEN,Primary
4038503,Harden,11,23,8,4.256,GREEN,Primary
4038497-1,Haworth 1,11,30,30,9.076,GREEN,Primary
4038505,Nabwood,11,23,23,12.41,GREEN,Primary
4038499,South Street,11,23,23,9.932,GREEN,Primary
4038570,Blackburn Meadows 33/11kV,11,24,24,14.28,GREEN,Primary
4038607,BOC Brinsworth,11,18.75,23,5.137,GREEN,Primary
4038609,Templeborough 33/11kV,11,18.75,23,12.317,GREEN,Primary
4038569,Tinsley Wire Industries,11,24,24,5.209,GREEN,Primary
4038776,Corringham Road,11,23,23,14.038,GREEN,Primary
4038601,Epworth,11,24,10,7.656,GREEN,Primary
4038778,Harpswell,11,24,8,7.82,AMBER,Primary
