Primary Substation,Voltage (kV),BSP Group,BCA Group (GSP),Easting,Northing,Firm Capacity (MVA),Demand Headroom (MW)
WARTON,6.6,PEEL,PENWORTHAM ,341290,428540,14.3,2.2
WATERHEAD,6.6,GREENHILL,WHITEGATE,394942,405940,4.6,14.7
WATERSWALLOWS,11,BUXTON,STALYBRIDGE,407734,375459,12,11.5
WEASTE,6.6,FREDERICK RD,KEARSLEY,378751,398897,9.1,0
WERNETH,6.6,GREENHILL,WHITEGATE,391273,403453,7.2,13.8
WESLEY PLACE BACUP,6.6,ROSSENDALE,PADIHAM,386475,422130,4.6,7.7
WEST DIDSBURY,6.6,WEST DIDSBURY,SOUTH MANCHESTER,383306,392514,7.2,3.8
WESTGATE,6.6,LANCASTER,HEYSHAM,343077,463204,7.2,3.6
WESTHOUGHTON,11,WESTHOUGHTON,KEARSLEY,365831,407025,7.6,3.1
WESTLINTON,11,CARLISLE,HARKER,339551,564489,12,8.9
WHALLEY,11,PADIHAM,PADIHAM,373376,436176,12,9
WHALLEY RANGE,6.6,WEST DIDSBURY,SOUTH MANCHESTER,382923,394645,7.2,1.9
WHASSET,11,KENDAL (PARKSIDE RD),HUTTON,350648,481468,12,2.8
WHITTLE LE WOODS,11,LEYLAND,PENWORTHAM ,357874,421203,12,6
WHITWORTH,6.6,ROCHDALE CENTRAL,ROCHDALE,388779,419157,7.2,4.7
WIGTON,11,CARLISLE,HARKER,325814,549933,7.6,0
WILLOW HEY,11,SKELMERSDALE,WASHWAY FARM,347779,406066,7.6,8.8
WILLOWBANK,6.6,GREENHILL,WHITEGATE,391885,406064,7.2,2.5
WILLOWHOLME,11,CARLISLE,HARKER,338653,556688,12,8.8
WILMSLOW,11,MOSS NOOK,SOUTH MANCHESTER,384710,381286,12,5.1
WINDERMERE,11,KENDAL (PARKSIDE RD),HUTTON,341657,498418,12,9.6
WINIFRED RD,6.6,ADSWOOD,BREDBURY,389971,388470,7.2,5.6
WITHINGTON,6.6,WEST DIDSBURY,SOUTH MANCHESTER,384841,392774,7.2,3.1
WITHYFOLD DRIVE,11,MACCLESFIELD,MACCLESFIELD,392132,374352,7.6,7
WOODBINE ST,6.6,CASTLETON,ROCHDALE,390519,412388,9.1,5.9
WOODFIELD RD,11,WRIGHTINGTON,PENWORTHAM ,358258,418014,7.6,5.2
WOODHILL LANE,6.6,LANCASTER,HEYSHAM,343294,463785,4.6,1.8
WOODHOUSE PARK,11,MOSS NOOK,SOUTH MANCHESTER,382132,386340,12,2.3
WOODLEY,11,VERNON PARK,BREDBURY,393116,392019,7.6,10.9
WOOLFOLD,11,BURY,KEARSLEY,378874,411666,12,10.6
WORDSWORTH ST,6.6,BOLTON,KEARSLEY,370709,410873,4.6,8.9
WORSLEY MESNES,6.6,WIGAN,KIRKBY,357435,403977,7.2,5.9
WRIGHTINGTON,11,WRIGHTINGTON,PENWORTHAM ,353466,413290,7.6,7.9
YEALAND,11,KENDAL (PARKSIDE RD),HUTTON,351537,475934,12,0.9
