OUTCODE,ONS
W10,E09000020
M32,E08000009
LS13,E08000035
BD21,E08000032
M21,E08000003
OL13,E07000125
KA18,S12000008
BS4,E06000023
CF72,W06000016
SG11,E07000242
YO18,E07000167
SW10,E09000020
BD18,E08000032
LS15,E08000035
NG11,E06000018
NR35,E07000149
M16,E08000009
DT9,E06000059
OX5,E07000177
B20,E08000025
NE65,E06000057
NW11,E09000003
GU27,E07000216
BT46,N09000009
KY11,S12000047
SW7,E09000033
KA10,S12000028
SK14,E08000008
B25,E08000025
BT35,N09000010
IP22,E07000149
S61,E08000018
PR26,E07000118
S65,E08000018
L6,E08000012
CH8,W06000005
M14,E08000003
SA14,W06000010
LU5,E06000056
SK5,E08000007
G67,S12000050
WA3,E08000010
MK11,E06000042
BB8,E07000122
S35,E08000016
SG18,E06000056
PL17,E06000052
CF37,W06000016
DL6,E07000164
YO15,E06000011
NN7,E06000062
TS24,E06000001
BT78,N09000005
DT8,E06000059
BT43,N09000008
LU6,E06000056
TN1,E07000116
EH2,S12000036
TQ5,E06000027
BD2,E08000032
CF3,W06000015
SG1,E07000243
PO36,E06000046
NG8,E06000018
W1D,E09000033
EH29,S12000036
NR30,E07000145
CT17,E07000108
BA12,E06000054
S73,E08000016
B28,E08000025
LL28,W06000003
HP8,E06000060
BB1,E06000008
BT19,N09000011
SA9,W06000023
CF39,W06000016
DH4,E08000024
BT67,N09000002
BT14,N09000003
DE55,E07000032
LL21,W06000003
BB4,E07000125
ST13,E07000198
LL19,W06000004
BN1,E06000043
AB15,S12000033
LL13,W06000006
E2,E09000012
BN7,E07000063
WF13,E08000034
WD23,E07000098
SS7,E07000069
PE30,E07000146
DH3,E08000037
NE46,E06000057
BN24,E07000065
N17,E09000014
CF15,W06000015
NP11,W06000018
DT2,E06000059
BT34,N09000010
M46,E08000010
TW7,E09000018
KY6,S12000047
TD9,S12000026
WV5,E07000196
BH12,E06000058
LS29,E08000032
SA2,W06000011
SA12,W06000012
AB24,S12000033
B79,E07000199
BH8,E06000058
ML7,S12000050
B18,E08000025
CH2,E06000050
OL2,E08000004
PL14,E06000052
SR8,E06000047
KT7,E07000207
HD4,E08000034
G32,S12000049
SG8,E07000012
ML5,S12000050
MK17,E06000042
E8,E09000012
SN8,E06000054
TW4,E09000018
S3,E08000019
WS9,E08000030
HP15,E06000060
HU2,E06000010
BD10,E08000032
WR13,E07000235
BD22,E08000032
ST5,E07000195
BA1,E06000022
BT42,N09000008
WR4,E07000237
BT82,N09000005
WF16,E08000034
PL25,E06000052
CH4,E06000050
ML3,S12000029
KA3,S12000008
TA24,E07000246
LE12,E07000130
TS25,E06000001
B10,E08000025
CT18,E07000112
DE24,E06000015
BS32,E06000025
L33,E08000011
IG6,E09000026
TW9,E09000027
IG2,E09000026
KA24,S12000021
BS11,E06000023
M43,E08000008
NW1,E09000007
RG19,E06000037
S72,E08000016
WV99,E06000020
MK3,E06000042
MK19,E06000062
DY6,E08000027
NG31,E07000141
WN3,E08000010
BH10,E06000058
OL11,E08000005
DY5,E08000027
IP11,E07000244
KW15,S12000023
RG31,E06000037
G4,S12000049
BS5,E06000023
PO22,E07000224
DE14,E07000193
SY10,E06000051
PA31,S12000035
HP23,E07000096
FK3,S12000014
DN14,E06000011
NW1W,E09000007
IG11,E09000002
B26,E08000025
G33,S12000049
SY4,E06000051
G84,S12000035
WN7,E08000010
B77,E07000199
NG2,E07000176
EX21,E07000046
EN8,E07000095
WS8,E07000194
BT4,N09000003
G77,S12000011
DL10,E07000166
L7,E08000012
SE8,E09000011
SA65,W06000009
SN14,E06000054
TN26,E07000105
DN37,E06000012
G63,S12000030
M60,E08000003
GL16,E07000080
PL5,E06000026
LS27,E08000035
S13,E08000019
AB11,S12000033
BN6,E07000063
RG45,E06000041
TW2,E09000027
BS36,E06000025
WV12,E08000030
TS14,E06000003
CB1,E07000008
G82,S12000039
SA11,W06000012
DN40,E06000013
NN5,E06000062
HP20,E06000060
AB54,S12000034
WC1N,E09000007
SY23,W06000008
OX2,E07000180
CH3,E06000050
RM18,E06000034
WV98,E07000239
BN10,E07000063
SK16,E08000008
MK46,E06000042
BS39,E06000022
ML6,S12000050
BS22,E06000024
BN14,E07000229
L1,E08000012
KA1,S12000008
HP3,E07000096
DN11,E07000171
NG18,E07000174
BL4,E08000001
BT20,N09000011
S21,E07000038
EC4A,E09000001
CF10,W06000015
B67,E08000028
S42,E07000038
NN8,E06000061
WC2B,E09000007
TN40,E07000064
G65,S12000050
LA14,E07000027
YO26,E06000014
W1S,E09000033
NN3,E06000062
M41,E08000009
M13,E08000003
IG4,E09000026
NG17,E07000170
SY21,W06000023
MK13,E06000042
SA62,W06000009
RG14,E06000037
PE3,E06000031
AL5,E07000240
TN17,E07000116
MK10,E06000042
RG9,E07000179
RG7,E06000037
B21,E08000025
GL13,E07000082
CF36,W06000013
N1P,E09000019
BS6,E06000023
BD8,E08000032
PE11,E07000140
BN2,E06000043
G31,S12000049
KA20,S12000021
TS29,E06000047
LS14,E08000035
HP21,E06000060
G13,S12000049
WC1H,E09000007
WA10,E08000013
HU16,E06000011
DE3,E06000015
AL10,E07000241
TS11,E06000003
CM12,E07000066
SL5,E06000036
HP4,E07000096
DL2,E06000005
AB34,S12000034
WF12,E08000034
HP22,E06000060
B46,E07000218
AB41,S12000034
LS26,E08000035
IP17,E07000244
SA13,W06000012
CV36,E07000221
MK7,E06000042
BT18,N09000011
FY6,E07000128
FK9,S12000030
TS13,E06000003
BN22,E07000061
LL14,W06000006
WA9,E08000013
SY16,W06000023
NG33,E07000141
BL6,E08000001
DE65,E07000039
FY5,E07000128
IP6,E07000203
TS18,E06000004
MK2,E06000042
WV4,E08000031
ST1,E06000021
TR20,E06000052
WF5,E08000036
WA12,E08000013
LA4,E07000121
PH1,S12000048
BS49,E06000024
NG23,E07000141
WA15,E08000009
L8,E08000012
TF9,E06000051
LN4,E07000139
EH25,S12000019
WA14,E08000009
PL28,E06000052
ML1,S12000050
DT10,E06000059
BT47,N09000005
E18,E09000026
AL7,E07000241
BH18,E06000058
PO40,E06000046
EH16,S12000036
DL15,E06000047
S70,E08000016
WS7,E07000194
MK16,E06000042
AB33,S12000034
LE9,E07000132
G5,S12000049
SA1,W06000011
CW6,E06000050
B1,E08000025
HP1,E07000096
WF10,E08000036
B11,E08000025
IP33,E07000245
BD14,E08000032
PE26,E07000011
YO10,E06000014
SA19,W06000010
