postcode,epc,hpr
RG14 7EQ,58.8,0.87
RG14 7QH,62.4,0.79
RG14 2ED,60.4,0.88
RG18 4DX,66.1,1.0
RG14 6EY,64.6,0.88
RG14 6AN,59.8,0.79
RG31 5JU,56.2,0.84
RG18 9PD,55.9,0.89
RG14 1JP,52.4,0.69
RG17 0BJ,63.1,0.86
RG7 3QJ,62.3,0.89
RG14 7SF,77.2,1.08
RG7 3WS,76.0,1.05
RG31 6XU,76.0,1.05
RG17 0HU,66.2,0.9
RG18 4BU,64.5,0.96
RG20 8JP,37.6,0.61
RG7 3NB,59.9,0.87
RG18 0TG,58.5,0.92
RG20 7LE,53.4,0.82
RG31 7YD,65.9,0.9
RG14 7JZ,84.1,1.17
RG14 1SW,62.9,0.92
RG18 4AE,76.6,1.07
RG31 7UW,72.5,0.96
RG19 3UB,64.8,0.86
RG14 6AJ,56.9,0.73
RG17 0HP,63.8,0.95
RG14 5BU,85.3,1.14
RG7 4AX,63.6,0.85
RG20 8EB,34.3,0.52
RG19 3AA,79.1,1.12
RG14 1GF,78.7,1.09
RG7 6LL,40.6,0.76
RG7 5QR,65.9,0.97
RG14 1QU,69.2,0.99
RG19 3LD,65.2,0.93
RG18 3GH,67.0,1.02
RG18 3NH,53.2,0.98
RG20 7AA,39.6,0.65
RG20 7LY,56.2,0.81
RG18 9NY,61.9,0.91
RG14 2DA,66.3,1.05
RG14 5BY,63.1,0.94
RG14 1GH,51.8,0.98
RG14 6JH,55.6,0.69
RG14 1HJ,63.9,1.01
RG18 3DU,63.1,0.89
RG18 9WQ,75.7,1.04
RG17 0NR,62.8,0.97
RG18 9HR,38.9,0.61
RG14 6NB,57.2,0.82
RG8 7JH,52.9,0.69
RG17 0AZ,66.8,0.93
RG31 5HB,63.6,0.84
RG14 7GP,82.0,1.05
RG18 3AG,69.2,0.86
RG18 3GN,84.1,1.18
RG31 6RZ,58.9,0.87
RG14 7GR,82.9,1.05
RG14 6HB,62.2,0.88
RG14 7GG,84.5,1.05
RG31 5HY,56.2,0.78
RG14 7DP,60.3,0.81
RG17 8NG,70.5,1.01
RG19 3XJ,62.1,0.94
RG14 1PJ,53.8,0.63
RG18 9TL,59.8,1.0
RG8 8LY,68.2,1.01
RG7 5HR,55.1,0.93
RG18 3BQ,65.8,0.87
RG17 9UL,49.6,0.89
RG14 7FX,77.3,1.04
RG14 5XD,71.8,1.07
RG7 6QJ,54.8,0.92
RG31 5BP,85.2,1.18
RG7 3UY,60.4,0.92
RG14 6RU,60.7,0.86
RG31 7EH,63.5,0.95
RG17 0EH,51.3,0.6
RG31 6YP,60.6,0.82
RG18 3DT,63.6,0.88
RG14 1XA,59.3,0.88
RG14 6QL,58.6,0.91
RG7 6JT,41.6,0.81
RG14 2ER,77.2,1.01
RG14 6EE,64.3,0.94
RG14 6NT,58.7,0.82
RG17 8YZ,66.5,0.95
RG14 2HW,66.1,0.9
RG18 9XQ,55.1,0.83
RG18 9XD,47.2,0.83
RG20 6NP,51.9,0.91
RG19 4WF,66.8,0.98
RG7 3PR,54.0,0.86
RG18 9HT,57.0,0.9
RG14 7HY,60.6,0.88
RG14 7UG,62.5,0.9
RG19 3XW,68.2,0.96
RG14 1LB,64.5,0.89
RG19 4FG,66.2,0.95
RG18 0XD,59.4,0.92
RG14 7BH,71.3,0.9
RG17 0UH,84.3,1.18
RG14 6DX,57.6,0.87
RG18 9WL,76.5,1.06
RG14 1JZ,61.9,0.96
RG19 4SA,76.4,1.05
RG7 3GN,75.4,1.05
RG14 1EY,69.0,0.93
RG31 4QL,66.7,0.88
RG18 3DE,63.6,0.92
RG8 8AQ,63.6,0.9
RG17 0NE,59.9,0.7
RG14 5XG,73.6,0.98
RG19 3TS,71.2,0.98
RG8 8RZ,61.3,0.95
RG20 8SA,47.4,0.72
RG7 4GX,78.4,1.07
RG7 5QW,68.3,0.99
RG7 4QL,54.3,0.92
RG14 6JR,65.7,0.94
RG8 7JE,61.0,0.85
RG20 6PJ,64.1,0.97
RG18 0TN,39.5,0.66
RG31 4UX,69.6,1.02
RG14 3AE,67.7,1.0
RG18 3GB,60.5,0.83
RG17 0RB,42.2,0.66
RG14 2LL,65.7,0.9
RG14 6TQ,73.2,0.95
RG17 8NH,82.8,1.18
RG17 8FA,64.7,0.98
RG20 8HN,55.6,0.93
RG14 7EB,79.9,1.07
RG18 0UJ,46.5,0.65
RG19 8QP,37.0,0.71
RG17 0BY,57.3,0.89
RG17 9XL,58.1,0.91
RG14 2LJ,65.2,0.93
RG18 4LA,65.1,0.94
RG14 5UJ,77.5,0.98
RG7 5NS,51.2,0.73
RG31 7AD,67.0,0.95
RG7 4EH,47.2,0.78
RG18 9UN,44.4,0.75
RG14 1XE,62.4,0.91
RG20 7LD,50.7,0.91
RG17 0RU,49.6,0.83
RG31 7AQ,65.4,0.95
RG31 6XX,75.7,1.05
RG8 7JL,56.0,0.67
RG14 6SY,62.8,0.9
RG17 0UU,31.5,0.76
RG14 2QH,58.7,0.92
RG31 4XA,60.9,0.85
RG14 5HL,72.8,0.89
RG20 7ES,54.0,0.92
RG7 5ND,55.1,0.91
RG18 4EU,66.2,0.97
RG14 2QX,58.5,0.67
RG19 3TP,65.2,0.91
RG7 3NZ,66.1,0.98
RG7 4US,67.2,1.0
RG14 1DP,78.3,1.07
RG18 3HG,67.2,0.96
RG7 3JS,57.8,0.83
RG14 7WU,84.0,1.16
RG14 7DQ,82.0,1.02
RG31 7EL,68.9,0.93
RG19 4FQ,64.8,0.98
