postcode,epc,hpr
LL30 2YA,62.3,0.69
LL34 6SP,61.7,0.8
LL30 2SW,46.3,0.62
LL29 8DY,56.4,0.8
LL29 7AT,66.8,0.87
LL28 5NG,69.4,0.99
LL29 7DH,55.1,0.61
LL22 9YQ,68.9,1.0
LL32 8RA,58.0,0.83
LL34 6RU,59.2,0.88
LL21 0NU,25.3,0.54
LL29 8PG,50.2,0.94
LL32 8JB,36.0,0.7
LL22 7DD,55.9,0.86
LL27 0RY,71.0,1.04
LL30 1DQ,50.2,0.59
LL22 7SJ,72.1,0.97
LL30 2UN,72.7,0.99
LL30 2QA,54.9,0.71
LL29 7ED,48.8,0.7
LL29 8UX,82.7,1.17
LL33 0BU,59.8,0.63
LL30 1JE,64.6,0.92
LL28 5NF,59.7,0.87
LL28 5BA,66.3,0.92
LL22 8UQ,45.1,0.8
LL30 1YA,71.3,0.94
LL22 9LH,78.8,1.12
LL30 2YT,54.4,0.77
LL24 0SD,22.5,0.61
LL33 0UP,50.9,0.75
LL18 5HW,61.0,0.9
LL22 7PA,65.8,0.88
LL32 8LD,52.7,0.67
LL31 9EY,52.2,0.7
LL21 9UG,32.0,0.59
LL22 7LW,59.5,0.8
LL22 7SS,55.9,0.62
LL22 8AF,54.2,0.9
LL30 2EF,59.2,0.77
LL30 1UE,55.9,0.8
LL29 8PW,60.7,0.75
LL22 7UP,60.9,0.96
LL30 1DZ,53.5,0.7
LL34 6PB,56.5,0.69
LL22 7YA,54.9,0.75
LL30 3BP,52.4,0.74
LL33 0UA,36.6,0.5
LL28 4FB,82.5,0.95
LL31 9AR,57.6,0.9
LL29 6AE,71.5,1.04
LL29 8BZ,37.5,0.65
LL30 3LH,56.7,0.87
LL25 0WA,81.0,1.17
LL29 7DS,61.1,0.79
LL21 9PA,30.7,0.64
LL18 5LD,57.1,0.87
LL33 0UH,60.3,0.8
LL29 9NY,61.0,0.92
LL24 0BL,58.8,0.84
LL24 0EU,35.4,0.73
LL16 5HJ,61.5,0.95
LL29 7TN,52.0,0.63
LL26 0PW,50.7,0.84
LL29 8HB,46.9,0.71
LL29 8FL,52.5,0.98
LL30 3HG,55.1,0.85
LL30 1EZ,55.6,0.69
LL28 4TF,52.7,0.81
LL16 5EG,3.3,0.4
LL18 5HF,61.2,0.93
LL30 3HE,55.6,0.82
LL22 9AX,76.9,1.04
